"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4"
"PH_WC_11.sorted.bam","11","WC",0.053246,0.0239,0.0843,0.125872,0.089526,0.171037,0.322442,0.2887,0.352057,0.49844,0.481409,0.514133,0.000856,0,0.008895,0.003136,0,0.028211,0.001615,0,0.016735,0.000829,0,0.008671,0.000581,0,0.006152,0.000253,0,0.002737,0.100815,0.032799,0.165367,0.244797,0.171996,0.330798,0.642968,0.574377,0.702462,0.00415,0,0.033028
"PH_WC_1.sorted.bam","1","WC",0.023308,2.1e-05,0.056799,0.118817,0.07921,0.162007,0.362283,0.330103,0.391726,0.495592,0.474173,0.503537,0.001017,0,0.010648,0.004875,0,0.045122,0.001817,0,0.018751,0.001049,0,0.010729,0.000919,0,0.009851,0.000395,0,0.00421,0.038657,0,0.110658,0.228205,0.151441,0.31344,0.721808,0.654994,0.781616,0.001258,0,0.012778
"PH_WC_2.sorted.bam","2","WC",0.060595,0.025252,0.099979,0.155714,0.116038,0.200385,0.297168,0.262596,0.331039,0.486523,0.439151,0.506613,0.001917,0,0.020687,0.017438,0,0.164377,0.005007,0,0.082884,0.006119,0,0.058366,0.002114,0,0.022391,0.000889,0,0.009084,0.093798,0,0.176391,0.281862,7e-06,0.375747,0.584326,0.514187,0.653365,0.00653,0,0.096929
"PH_WC_3.sorted.bam","3","WC",0.029166,0.000184,0.063118,0.153134,0.114703,0.196439,0.321501,0.284623,0.354212,0.496199,0.47576,0.516655,0.003324,0,0.025344,0.002834,0,0.029595,0.003777,0,0.032792,0.00117,0,0.011699,0.000828,0,0.008315,0.000442,0,0.004685,0.047679,0,0.122085,0.295054,0.210481,0.377251,0.640121,0.567178,0.704315,0.004772,0,0.043281
"PH_WC_5.sorted.bam","5","WC",0.073485,0.043766,0.105288,0.097621,0.062269,0.142674,0.33122,0.29177,0.364478,0.497674,0.486611,0.50185,0.000335,0,0.003428,0.002992,0,0.023846,0.000381,0,0.003789,0.00077,0,0.00754,0.000532,0,0.005437,0.000224,0,0.002207,0.142539,0.074865,0.208027,0.190956,0.121444,0.276531,0.660691,0.582507,0.726906,0.000581,0,0.006385
"PH_WC_6.sorted.bam","6","WC",0.058226,0.029694,0.088503,0.152158,0.107783,0.200707,0.318804,0.28228,0.351108,0.470812,0.433612,0.502958,0.016316,0,0.073775,0.044276,0,0.141954,0.019692,0,0.090249,0.002733,0,0.02698,0.001948,0,0.020956,0.000808,0,0.008663,0.03681,0,0.140849,0.218708,0.089563,0.330339,0.631312,0.552376,0.696947,0.027397,0,0.10974
"PH_WC_7.sorted.bam","7","WC",0.075564,0.042836,0.110832,0.117268,0.077202,0.162112,0.309062,0.276493,0.342757,0.498106,0.47985,0.51781,0.000689,0,0.006936,0.004244,0,0.038359,0.001951,0,0.01604,0.00138,0,0.013464,0.000981,0,0.009839,0.000549,0,0.005704,0.144127,0.073735,0.215599,0.225409,0.144832,0.3005,0.614665,0.549583,0.682577,0.006005,0,0.045486
"PH_WC_8.sorted.bam","8","WC",0.078572,0.045461,0.111932,0.124026,0.079651,0.177015,0.323729,0.286042,0.35827,0.473673,0.431978,0.499878,0.00255,0,0.02729,0.030165,0,0.12186,0.001913,0,0.019735,0.015173,0,0.097736,0.003384,0,0.035949,0.000441,0,0.004708,0.106705,0,0.19559,0.210677,0.134603,0.314179,0.628019,0.541,0.704379,0.000972,0,0.009085
"PH_WC_9.sorted.bam","9","WC",0.040414,0.011916,0.071289,0.138778,0.098891,0.189903,0.338264,0.302618,0.371429,0.482544,0.447824,0.503064,0.005563,0,0.045035,0.015827,0,0.086686,0.006464,0,0.051895,0.004345,0,0.046241,0.005311,0,0.050462,0.000966,0,0.011557,0.049531,0,0.127894,0.24349,0.156746,0.330728,0.66494,0.582821,0.734663,0.003564,0,0.033455
"PH_WF_10.sorted.bam","10","WF",0.040675,0.007958,0.074976,0.208104,0.172797,0.243876,0.493335,0.467333,0.500246,0.257886,0.224808,0.293612,0.000446,0,0.004806,0.008344,0,0.060726,0.000876,0,0.009053,0.069889,0,0.134474,0.404611,0.320342,0.478067,0.000309,0,0.003219,0.002226,0,0.024201,0.001501,0,0.013055,0.511551,0.447323,0.579945,0.000248,0,0.002635
"PH_WF_11.sorted.bam","11","WF",0.143429,0.105661,0.17361,0.087467,0.060659,0.12226,0.421579,0.381991,0.478957,0.347525,0.311678,0.376683,0.000274,0,0.00269,0.147804,0,0.232951,0.000359,0,0.003693,0.135415,0.046234,0.231043,0.021045,0,0.163713,0.000222,0,0.002401,0.00309,0,0.045552,0.005367,0,0.060568,0.686255,0.573888,0.749471,0.000168,0,0.001648
"PH_WF_12.sorted.bam","12","WF",0.067274,0.036035,0.104946,0.266054,0.214807,0.315967,0.495828,0.452835,0.53796,0.170843,0.134666,0.208241,0.008583,0,0.064582,0.041878,0,0.178647,0.192139,0,0.30798,0.072524,0,0.183894,0.095004,0,0.304473,0.250104,0.174393,0.325561,0.00298,0,0.025375,0.010948,0,0.099875,0.32392,0.220612,0.405545,0.001919,0,0.019713
"PH_WF_1.sorted.bam","1","WF",0.045063,0.011191,0.07737,0.209945,0.169501,0.252205,0.487386,0.439787,0.501503,0.257606,0.221012,0.29675,0.000655,0,0.006699,0.019302,0,0.108226,0.000865,0,0.008866,0.067845,0,0.140957,0.395735,0.309146,0.475271,0.000758,0,0.007144,0.001671,0,0.01445,0.003123,0,0.033076,0.509677,0.43897,0.588886,0.00037,0,0.003877
"PH_WF_2.sorted.bam","2","WF",0.071916,0.038281,0.112895,0.268988,0.217456,0.315969,0.485273,0.44403,0.525867,0.173823,0.135995,0.213383,0.016929,0,0.084974,0.085608,0,0.189808,0.145965,0.02988,0.273482,0.02232,0,0.155537,0.152257,0,0.304199,0.230977,0.150263,0.312545,0.002047,0,0.019257,0.008181,0,0.073187,0.334014,0.254767,0.412221,0.001702,0,0.017702
"PH_WF_3.sorted.bam","3","WF",0.056006,0.025385,0.091881,0.254584,0.210691,0.300387,0.502896,0.463679,0.539209,0.186515,0.150553,0.22529,0.018907,0,0.0752,0.006873,0,0.062098,0.215455,0.133994,0.281616,0.065991,0,0.159261,0.067415,0,0.230514,0.254041,0.189196,0.321271,0.001333,0,0.013775,0.003969,0,0.044044,0.364304,0.282048,0.442875,0.001712,0,0.016969
"PH_WF_4.sorted.bam","4","WF",0.060792,0.024782,0.10138,0.255947,0.205629,0.305188,0.513317,0.467981,0.555252,0.169945,0.127751,0.215045,0.036964,0,0.091084,0.002966,0,0.032985,0.14627,0.057333,0.272095,0.028867,0,0.143261,0.213076,0,0.38202,0.235929,0.152767,0.317538,0.015823,0,0.097484,0.003311,0,0.036115,0.312831,0.209441,0.411705,0.003962,0,0.03377
