"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3"
"PH_BB_8.sorted.bam","8","BB",0.017997,3e-06,0.052437,0.965896,0.912239,0.999787,0.016107,1e-06,0.052386,0.002103,0,0.019518,0.014858,0,0.09391,0.954329,0.866922,0.999712,0.016929,0,0.0719,0.008277,0,0.065358,0.003504,0,0.026979
"PH_BB_9.sorted.bam","9","BB",0.013454,2e-06,0.03888,0.97058,0.927431,0.999671,0.015965,1e-06,0.050539,0.003564,0,0.024937,0.007641,0,0.056345,0.959261,0.884155,0.99953,0.012141,0,0.057818,0.014997,0,0.087541,0.002396,0,0.021963
"PH_BC_10.sorted.bam","10","BC",0.122651,0.08713,0.162317,0.067857,0.002725,0.123081,0.809493,0.75742,0.863748,0.000722,0,0.006984,0.003697,0,0.040243,0.003335,0,0.036597,0.240161,0.165319,0.322129,0.125347,0,0.24201,0.626738,0.517817,0.74324
"PH_BC_11.sorted.bam","11","BC",0.107849,0.063954,0.160738,0.073383,0.001445,0.133839,0.818768,0.75581,0.885685,0.018132,0,0.114584,0.090203,0,0.224222,0.011155,0,0.07773,0.089231,0,0.30401,0.034254,0,0.228022,0.757025,0.608897,0.864026
"PH_BC_1.sorted.bam","1","BC",0.097927,0.052572,0.139842,0.091957,0.021842,0.152127,0.810116,0.757427,0.866913,0.001593,0,0.017596,0.035332,0,0.192811,0.011596,0,0.085893,0.157336,0,0.276817,0.12539,0,0.275178,0.668753,0.529084,0.83941
"PH_BC_2.sorted.bam","2","BC",0.093305,0.052875,0.133411,0.012106,0,0.052202,0.894589,0.848108,0.937548,0.001647,0,0.01635,0.007345,0,0.067916,0.004985,0,0.042066,0.175971,0.068521,0.262662,0.006898,0,0.060079,0.803154,0.71614,0.887635
"PH_BC_3.sorted.bam","3","BC",0.12828,0.091416,0.166581,0.068658,0.016455,0.119679,0.803062,0.75466,0.850605,0.001004,0,0.00987,0.006197,0,0.059095,0.010537,0,0.070052,0.248354,0.167916,0.326895,0.110044,0,0.23224,0.623863,0.516617,0.731148
"PH_BC_4.sorted.bam","4","BC",0.11761,0.082341,0.154067,0.006821,0,0.035391,0.875569,0.838611,0.912136,0.000939,0,0.009269,0.003343,0,0.030658,0.0013,0,0.012291,0.229999,0.146111,0.3049,0.0077,0,0.05998,0.756719,0.683845,0.829283
"PH_BC_5.sorted.bam","5","BC",0.117368,0.080385,0.155098,0.089474,0.023604,0.148069,0.793158,0.74062,0.845568,0.001242,0,0.013318,0.00781,0,0.076728,0.005756,0,0.055958,0.224441,0.120533,0.30629,0.159625,0.003196,0.286039,0.601125,0.488731,0.714975
"PH_BC_6.sorted.bam","6","BC",0.118234,0.076757,0.157227,0.043119,1.3e-05,0.105924,0.838646,0.787435,0.888655,0.000934,0,0.009259,0.011629,0,0.097839,0.00514,0,0.042149,0.22297,0.104034,0.311706,0.06433,0,0.200772,0.694996,0.584345,0.801133
