"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_FV_12.sorted.bam","12","FV",0.001865,0,0.009606,0.002194,0,0.012218,0.480098,0.454212,0.504773,0.448059,0.416077,0.48011,0.067784,0.039203,0.097331,0.000318,0,0.003407,0.000534,0,0.006283,0.00064,0,0.006765,0.00083,0,0.008638,0.000764,0,0.008289,0.101424,0.053767,0.150078,0.000702,0,0.006833,0.000714,0,0.007298,0.695498,0.60665,0.78468,0.083135,0.02861,0.14041,0.001028,0,0.010404,0.001096,0,0.012281,0.060254,0,0.158887,0.032933,0,0.125121,0.020128,0,0.081858
"PH_FV_1.sorted.bam","1","FV",0.001711,0,0.009656,0.001427,0,0.008389,0.448563,0.41886,0.477207,0.462064,0.430422,0.4958,0.086234,0.059769,0.113522,0.000918,0,0.008314,0.000225,0,0.002323,0.000415,0,0.004233,0.000529,0,0.005657,0.000762,0,0.008694,0.050129,2e-06,0.096506,0.000421,0,0.004592,0.000575,0,0.006385,0.631093,0.560585,0.699494,0.144236,0.104306,0.182408,0.000413,0,0.004386,0.000464,0,0.004943,0.164485,0.106056,0.222314,0.003568,0,0.034473,0.001769,0,0.018934
"PH_FV_2.sorted.bam","2","FV",0.003729,1e-06,0.016268,0.002127,0,0.011238,0.479734,0.453729,0.504417,0.441719,0.41021,0.474229,0.072691,0.045584,0.100155,0.000838,0,0.008976,0.000549,0,0.005596,0.000494,0,0.005213,0.003252,0,0.026278,0.001416,0,0.01362,0.076327,0.03095,0.11896,0.001118,0,0.011574,0.000707,0,0.0076,0.660704,0.591485,0.730684,0.109861,0.074676,0.145741,0.000863,0,0.009454,0.000593,0,0.005964,0.141442,0.085891,0.197348,0.001187,0,0.011737,0.000648,0,0.007007
"PH_FV_4.sorted.bam","4","FV",0.006474,2e-06,0.022767,0.002326,0,0.014254,0.48878,0.459111,0.520228,0.422855,0.386075,0.458078,0.079565,0.049487,0.111685,0.005396,0,0.021754,0.000274,0,0.002673,0.001396,0,0.013092,0.00073,0,0.007464,0.000402,0,0.004339,0.151513,0.107746,0.196783,6e-04,0,0.006136,0.000706,0,0.007425,0.641716,0.547849,0.715971,0.100171,0.05468,0.150465,0.000554,0,0.005855,0.000478,0,0.004865,0.031687,0,0.136025,0.002346,0,0.025242,0.062033,0,0.104329
"PH_FV_5.sorted.bam","5","FV",0.00174,0,0.009257,0.00359,1e-06,0.014352,0.479396,0.451454,0.507837,0.443416,0.409586,0.478397,0.071858,0.046364,0.099494,0.000551,0,0.005648,0.000505,0,0.005554,0.002196,0,0.012695,0.001045,0,0.011706,0.001104,0,0.011383,0.114787,0.068903,0.160376,0.000358,0,0.003973,0.000622,0,0.006237,0.591588,0.517417,0.666446,0.146467,0.1085,0.186164,0.00047,0,0.005057,0.000558,0,0.005801,0.135481,0.073702,0.191381,0.00133,0,0.01455,0.002938,0,0.029133
"PH_FV_6.sorted.bam","6","FV",0.001837,0,0.009204,0.001233,0,0.006656,0.477031,0.449056,0.505069,0.423113,0.387351,0.457001,0.096785,0.065244,0.130112,0.00068,0,0.006303,0.000302,0,0.003246,0.000434,0,0.004651,0.000776,0,0.007876,0.000391,0,0.004086,0.104602,0.060413,0.150702,0.000748,0,0.008058,0.000459,0,0.004556,0.702655,0.613054,0.776979,0.070412,0.034534,0.109755,0.000489,0,0.005248,0.000448,0,0.004509,0.041037,0,0.138331,0.001539,0,0.01742,0.075029,0.032801,0.11429
"PH_FV_7.sorted.bam","7","FV",0.002225,0,0.010754,0.001381,0,0.00756,0.457428,0.431696,0.482576,0.461503,0.428955,0.492355,0.077464,0.048766,0.107528,0.000543,0,0.005376,0.000308,0,0.003585,0.000614,0,0.006078,0.001157,0,0.011423,0.000448,0,0.004292,0.098457,0.058917,0.139515,0.00075,0,0.007722,0.000391,0,0.003968,0.659181,0.573184,0.738513,0.129713,0.084839,0.177153,0.001149,0,0.012176,0.000388,0,0.004038,0.057158,0,0.142578,0.003258,0,0.034535,0.046487,0,0.09604
"PH_FV_8.sorted.bam","8","FV",0.001307,0,0.007491,0.003662,1e-06,0.017292,0.475356,0.443371,0.504392,0.429564,0.397324,0.46367,0.09011,0.057865,0.122115,0.000386,0,0.004041,0.000509,0,0.005177,0.000909,0,0.009094,0.000559,0,0.006148,0.003599,0,0.029336,0.095735,0.031273,0.148873,0.000354,0,0.003817,0.000636,0,0.006995,0.663754,0.578273,0.753701,0.096722,0.053055,0.142899,0.00042,0,0.004349,0.000764,0,0.007732,0.091332,0,0.199195,0.000942,0,0.009568,0.043381,0,0.094295
"PH_FV_9.sorted.bam","9","FV",0.009006,1.2e-05,0.024609,0.001091,0,0.006483,0.471805,0.433975,0.500756,0.439922,0.405039,0.475583,0.078176,0.049211,0.107744,0.007944,0,0.023722,0.000294,0,0.003065,0.000321,0,0.003548,0.000781,0,0.008348,0.000623,0,0.006418,0.079201,0.001752,0.130634,0.000398,0,0.004057,0.000307,0,0.003019,0.631203,0.557562,0.708081,0.123608,0.08896,0.159698,0.000651,0,0.007268,0.000317,0,0.003466,0.1526,0.091217,0.213674,0.000719,0,0.007004,0.001033,0,0.011318
"PH_GB_10.sorted.bam","10","GB",0.141107,0.109372,0.174294,0.003022,1e-06,0.014826,0.535225,0.500526,0.568781,0.113361,0.078648,0.146449,0.207285,0.171,0.244931,0.117885,0.073468,0.160445,0.000564,0,0.006012,0.000917,0,0.008545,0.04409,0,0.133253,0.002088,0,0.020222,0.288613,0.23426,0.344514,0.00106,0,0.012001,0.000746,0,0.00794,0.219133,0.146383,0.289035,0.002309,0,0.023507,0.00073,0,0.008246,0.000811,0,0.009395,0.227913,0.147268,0.317224,0.001165,0,0.011735,0.091976,0.050039,0.135796
