"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_PC_3.sorted.bam","3","PC",0.280799,0.242332,0.318026,0.719201,0.681974,0.757668,0.000807,0,0.006246,0.559983,0.483512,0.634365,0.43921,0.364581,0.515841
"PH_PC_4.sorted.bam","4","PC",0.294954,0.257891,0.332276,0.705046,0.667724,0.742109,0.002206,0,0.016266,0.585497,0.50878,0.662072,0.412298,0.336349,0.487032
"PH_PC_5.sorted.bam","5","PC",0.271147,0.232373,0.31246,0.728853,0.68754,0.767627,0.069918,2e-06,0.164228,0.402458,0.237749,0.553647,0.527624,0.435942,0.617131
"PH_PC_6.sorted.bam","6","PC",0.253004,0.214558,0.294008,0.746996,0.705992,0.785442,0.061858,4e-06,0.155725,0.382292,0.20845,0.529403,0.55585,0.459363,0.654869
"PH_PC_7.sorted.bam","7","PC",0.497486,0.481741,0.501769,0.502514,0.498231,0.518259,0.000572,0,0.004303,0.993827,0.962597,1,0.005601,0,0.036711
"PH_PC_8.sorted.bam","8","PC",0.253487,0.214024,0.293826,0.746513,0.706174,0.785976,0.115736,0.022964,0.207764,0.275501,0.09582,0.460531,0.608763,0.502437,0.712923
"PH_PC_9.sorted.bam","9","PC",0.258957,0.220444,0.299196,0.741043,0.700804,0.779556,0.16432,0.087418,0.253914,0.189274,0.000163,0.340296,0.646406,0.554116,0.756368
"PH_PR_11.sorted.bam","11","PR",0.00164,0,0.009043,0.99836,0.990957,1,0.000899,0,0.007156,0.001483,0,0.011578,0.997618,0.9863,1
"PH_PR_12.sorted.bam","12","PR",0.012117,1.6e-05,0.035123,0.987883,0.964877,0.999984,0.00908,0,0.032057,0.006075,0,0.035387,0.984846,0.954756,0.999977
"PH_PR_1.sorted.bam","1","PR",0.00255,0,0.013273,0.99745,0.986727,1,0.001358,0,0.009876,0.002384,0,0.017271,0.996258,0.980022,0.999999
"PH_PR_2.sorted.bam","2","PR",0.002455,0,0.014732,0.997545,0.985268,1,0.001043,0,0.007867,0.002824,0,0.022499,0.996133,0.975397,0.999999
"PH_PR_3.sorted.bam","3","PR",0.002346,1e-06,0.01207,0.997654,0.98793,0.999999,0.001168,0,0.008601,0.002357,0,0.016233,0.996475,0.980601,0.999999
"PH_PR_4.sorted.bam","4","PR",0.002943,0,0.01518,0.997057,0.98482,1,0.001321,0,0.009562,0.003245,0,0.025413,0.995434,0.973922,1
"PH_PR_5.sorted.bam","5","PR",0.00571,2e-06,0.022723,0.99429,0.977277,0.999998,0.003709,0,0.019356,0.004002,0,0.028845,0.992289,0.968008,0.999997
"PH_PR_6.sorted.bam","6","PR",0.001492,0,0.007494,0.998508,0.992506,1,0.000733,0,0.00561,0.001517,0,0.010927,0.99775,0.987901,1
"PH_PR_8.sorted.bam","8","PR",0.004921,1e-06,0.021172,0.995079,0.978828,0.999999,0.003361,0,0.01886,0.00312,0,0.021003,0.993519,0.973701,0.999998
"PH_PT_12.sorted.bam","12","PT",0.153603,0.117422,0.191938,0.846397,0.808062,0.882578,0.005016,0,0.037027,0.297176,0.211551,0.37723,0.697809,0.619991,0.772359
"PH_PT_2.sorted.bam","2","PT",0.146734,0.108141,0.185991,0.853266,0.814009,0.891859,0.021738,0,0.094816,0.249992,0.104907,0.350405,0.728271,0.646532,0.823926
"PH_PT_9.sorted.bam","9","PT",0.1607,0.122306,0.200834,0.8393,0.799166,0.877694,0.145851,0.056889,0.19672,0.029696,0,0.185607,0.824452,0.74616,0.871439
"PH_SB_10.sorted.bam","10","SB",0.418126,0.381094,0.454059,0.581874,0.545941,0.618906,0.001337,0,0.010125,0.833577,0.758724,0.906176,0.165086,0.092804,0.239859
"PH_SB_1.sorted.bam","1","SB",0.249112,0.210041,0.2884,0.750888,0.7116,0.789959,0.000532,0,0.004123,0.49716,0.41886,0.575518,0.502308,0.423441,0.580457
"PH_SB_2.sorted.bam","2","SB",0.268813,0.225169,0.313312,0.731187,0.686688,0.774831,0.174673,0.081866,0.267633,0.188279,0.000843,0.375951,0.637047,0.526084,0.742497
"PH_SB_3.sorted.bam","3","SB",0.234702,0.19234,0.277956,0.765298,0.722044,0.80766,0.015467,0,0.082051,0.43847,0.314284,0.540383,0.546064,0.454965,0.631896
"PH_SB_4.sorted.bam","4","SB",0.27955,0.240991,0.319555,0.72045,0.680445,0.759009,0.075905,1.2e-05,0.157477,0.407289,0.253569,0.555117,0.516806,0.430315,0.608615
"PH_SB_6.sorted.bam","6","SB",0.3407,0.301428,0.378801,0.6593,0.621199,0.698573,0.003621,0,0.026697,0.674159,0.590939,0.752828,0.32222,0.244856,0.40084
"PH_SB_7.sorted.bam","7","SB",0.238817,0.19993,0.281254,0.761183,0.718746,0.80007,0.012918,0,0.075293,0.451798,0.327203,0.547797,0.535284,0.448877,0.621804
"PH_SB_9.sorted.bam","9","SB",0.346792,0.307627,0.386897,0.653208,0.613103,0.692373,0.000847,0,0.006276,0.69189,0.613777,0.772603,0.307263,0.226902,0.38546
"PH_SC_10.sorted.bam","10","SC",0.188165,0.150086,0.227704,0.811835,0.772296,0.849914,0.001163,0,0.008556,0.374004,0.298289,0.453104,0.624834,0.546686,0.700513
"PH_SC_11.sorted.bam","11","SC",0.048992,0.018366,0.083119,0.951008,0.916881,0.981634,0.029421,0,0.07491,0.039141,0,0.1364,0.931438,0.859941,0.976915
"PH_SC_12.sorted.bam","12","SC",0.045104,0.012399,0.078304,0.954896,0.921696,0.987601,0.015804,0,0.056751,0.0586,1e-06,0.134001,0.925596,0.860718,0.984902
"PH_SC_1.sorted.bam","1","SC",0.045476,0.015911,0.075246,0.954524,0.924754,0.984089,0.005491,0,0.03478,0.079969,0.002304,0.145836,0.91454,0.85259,0.97601
